latitude,longitude,accommodates,bedrooms,beds,price
51.56802,-0.11121,2,1,0,$65.00 
51.4878,-0.16813,2,1,1,$75.00 
51.52195,-0.14094,6,3,3,$307.00 
51.47935,-0.19743,2,1,1,$150.00 
51.47298,-0.16376,4,1,1,$195.00 
51.57438,-0.21081,2,1,0,$29.00 
51.46507,-0.32421,2,1,1,$65.00 
51.47934,-0.28066,5,3,3,$195.00 
51.58461,-0.1617,2,1,0,$72.00 
51.4194,-0.08722,2,1,,$65.00 
51.50819,-0.23284,8,4,4,$155.00 
51.5873,-0.08606,2,1,1,$45.00 
51.47871,-0.06063,2,1,1,$42.00 
51.52605,-0.19942,2,1,2,$42.00 
51.5886,-0.08805,2,1,1,$45.00 
51.574,-0.21058,2,1,1,$25.00 
51.61648,-0.25788,4,2,3,$250.00 
51.49157,-0.256,4,1,3,$150.00 
51.50205,-0.10015,1,1,1,$79.00 
51.5584,0.00258,2,1,1,$37.00 
51.58611,-0.16272,2,1,1,$60.00 
51.50822,-0.21562,1,1,1,$125.00 
51.48172,-0.20957,2,1,1,$38.00 
51.53033,-0.21734,2,1,1,$120.00 
51.47511,-0.19263,2,1,1,$65.00 
51.4743,-0.19204,2,1,1,$55.00 
51.59554,-0.24187,1,1,1,$24.00 
51.55224,-0.19964,2,1,1,$45.00 
51.51812,-0.1977,4,1,2,$125.00 
51.53604,0.0194,2,1,2,$160.00 
51.48063,-0.18175,4,1,1,$85.00 
51.5297,-0.14384,1,1,1,$36.00 
51.49506,-0.2275,2,1,1,$78.00 
51.49462,-0.22923,2,1,1,$45.00 
51.51757,-0.19195,3,1,2,$121.00 
51.54783,-0.19764,2,1,1,$40.00 
51.37487,-0.11565,4,2,2,$56.00 
51.49547,-0.22942,2,1,0,$45.00 
51.39998,-0.10548,2,1,2,$35.00 
51.52315,-0.05755,2,1,1,$43.00 
51.50143,-0.02024,3,1,1,$165.00 
51.49402,-0.22724,2,1,1,$45.00 
51.48642,-0.09557,3,1,1,$75.00 
51.48097,-0.09766,2,1,1,$65.00 
51.45932,-0.11874,2,1,1,$80.00 
51.49404,-0.22738,2,1,1,$55.00 
51.54117,-0.05867,2,1,1,$76.00 
51.60202,-0.26139,1,1,1,$25.00 
51.59016,-0.09427,1,1,1,$43.00 
51.54049,-0.04916,2,1,1,$140.00 
51.52216,-0.13859,3,1,1,$148.00 
51.48064,-0.11439,2,1,1,$48.00 
51.44563,-0.14195,2,1,1,$50.00 
51.46161,-0.11023,6,2,3,$120.00 
51.49384,-0.22789,2,1,0,$40.00 
51.49245,-0.20381,10,4,9,$414.00 
51.57157,0.01088,2,1,0,$60.00 
51.46452,-0.0797,1,1,0,$34.00 
51.39711,-0.21342,2,1,1,$35.00 
51.43828,-0.01975,2,1,2,$60.00 
51.49096,-0.16183,2,1,1,$99.00 
51.4533,-0.15646,2,1,2,$100.00 
51.49297,-0.1216,2,1,1,$95.00 
51.40092,-0.10452,2,1,2,$35.00 
51.53917,-0.10221,4,2,2,$133.00 
51.40644,-0.33563,3,1,2,$170.00 
51.54838,-0.16344,2,1,2,$110.00 
51.52139,-0.13932,5,2,5,$400.00 
51.51061,-0.06646,3,1,1,$128.00 
51.41642,-0.07645,2,1,1,$40.00 
51.52707,-0.10923,2,1,1,$102.00 
51.58519,0.15639,2,1,1,$190.00 
51.57552,-0.06052,2,1,1,$31.00 
51.58937,-0.12274,1,1,1,$40.00 
51.49168,-0.1157,1,1,1,$58.00 
51.51853,-0.18351,4,2,2,$151.00 
51.48582,-0.19951,4,2,2,$125.00 
51.52479,-0.11648,4,1,2,$129.00 
51.5107,-0.18997,1,1,1,$150.00 
51.48209,0.07248,2,1,4,$50.00 
51.44742,-0.43175,2,1,1,$55.00 
51.56792,-0.11125,5,1,3,$145.00 
51.49875,-0.19263,4,2,4,$199.00 
51.41297,-0.11367,1,1,1,$40.00 
51.49764,-0.01365,1,1,1,$47.00 
51.51109,-0.19842,2,1,1,$93.00 
51.48089,-0.14775,2,1,1,$50.00 
51.54113,-0.09881,2,1,0,$90.00 
51.55071,-0.08547,2,1,1,$85.00 
51.44004,-0.18755,2,1,0,$42.00 
51.49993,-0.21707,5,2,2,$100.00 
51.41562,-0.19489,4,2,2,$75.00 
51.46672,-0.12717,2,1,1,$45.00 
51.47635,0.0128,2,1,1,$41.00 
51.51881,-0.1965,4,2,3,$300.00 
51.52764,-0.05293,4,1,1,$75.00 
51.44868,-0.04282,4,2,2,$120.00 
51.57204,-0.08339,1,1,,$100.00 
51.52099,-0.22852,2,1,0,$49.00 
51.42875,-0.12056,2,1,1,$35.00 
51.46652,-0.23675,2,1,2,$30.00 
51.5139,-0.29568,2,1,1,$60.00 
51.57271,-0.13948,2,1,2,$80.00 
51.53454,0.02706,1,1,1,$27.00 
51.50838,-0.19884,1,1,1,$110.00 
51.54873,-0.10569,4,1,2,$118.00 
51.49906,-0.22803,2,1,1,$350.00 
51.52819,-0.0561,2,1,1,$55.00 
51.54647,-0.05664,6,3,4,$250.00 
51.50615,-0.1078,2,1,1,$95.00 
51.5347,-0.03215,5,2,3,$68.00 
51.4866,-0.22458,1,1,1,$81.00 
51.52874,-0.05396,1,1,1,$55.00 
51.52478,-0.10484,2,1,1,$144.00 
51.52245,-0.18275,4,2,3,$164.00 
51.56739,-0.11264,2,1,1,$31.00 
51.61308,-0.11829,1,1,1,$25.00 
51.50155,-0.233,2,1,1,$104.00 
51.52359,-0.19587,2,1,1,$99.00 
51.44777,-0.33962,2,1,1,"$1,000.00 "
51.49148,-0.11151,2,1,2,$90.00 
51.51099,-0.07862,2,1,1,$130.00 
51.52197,-0.14035,3,1,1,$153.00 
51.51411,-0.0412,1,1,1,$75.00 
51.52851,-0.08985,3,1,1,$130.00 
51.40066,-0.19158,7,2,2,$138.00 
51.54017,-0.05457,2,1,1,$35.00 
51.53058,-0.01203,3,1,2,$75.00 
51.50549,-0.33443,1,1,1,$28.00 
51.58409,-0.14625,4,2,2,$99.00 
51.4897,-0.13911,3,2,2,$83.00 
51.48974,-0.22208,4,1,1,$46.00 
51.46788,-0.09993,2,1,1,$34.00 
51.51735,-0.21076,2,1,1,$50.00 
51.51755,-0.20159,2,1,1,$120.00 
51.49185,-0.08823,4,2,3,$111.00 
51.53593,-0.06396,2,1,0,$120.00 
51.50612,-0.14029,6,3,1,"$1,300.00 "
51.49686,-0.02627,2,1,1,$60.00 
51.49577,-0.1954,2,1,1,$85.00 
51.51789,-0.158,2,1,1,$204.00 
51.5471,-0.17981,2,2,1,$229.00 
51.52636,-0.18801,2,1,0,$50.00 
51.52948,-0.08591,6,2,3,$155.00 
51.53753,-0.24013,6,2,2,$150.00 
51.55191,-0.11497,2,1,1,$45.00 
51.47375,-0.18152,4,2,2,$120.00 
51.43855,-0.32191,2,1,1,$50.00 
51.49882,-0.10293,1,1,1,$69.00 
51.54209,-0.202,3,1,1,$69.00 
51.49146,-0.27072,2,1,1,$85.00 
51.53715,-0.06418,4,2,3,$85.00 
51.48833,-0.18901,1,1,1,$35.00 
51.5343,0.08195,1,1,1,$40.00 
51.51462,-0.05969,2,1,1,$35.00 
51.48446,-0.1054,2,1,1,$45.00 
51.49519,-0.19242,5,1,8,$97.00 
51.38447,-0.12659,1,1,0,$18.00 
51.53662,-0.11323,2,1,1,$70.00 
51.53614,-0.14158,4,1,3,$116.00 
51.3676,-0.12209,2,1,0,$36.00 
51.55239,-0.0346,8,4,4,$263.00 
51.51566,-0.17467,2,1,1,$94.00 
51.52945,-0.19746,1,1,1,$67.00 
51.51146,-0.2021,4,2,2,$457.00 
51.47928,-0.22061,6,3,2,$61.00 
51.52055,-0.11784,2,1,0,$66.00 
51.52853,-0.07728,2,1,1,$95.00 
51.59056,-0.09624,2,1,1,$60.00 
51.48829,-0.18905,3,2,2,$88.00 
51.51862,-0.13957,4,1,1,$180.00 
51.48793,-0.04204,7,1,1,$30.00 
51.4898,-0.19574,1,1,1,$75.00 
51.5368,-0.07753,2,1,1,$90.00 
51.47118,-0.1844,2,2,2,$75.00 
51.54818,-0.08428,1,1,1,$39.00 
51.52153,-0.1004,2,1,1,$140.00 
51.48668,-0.10513,2,1,1,$100.00 
51.49046,-0.19767,2,1,0,$100.00 
51.60477,-0.12547,4,3,6,$133.00 
51.50453,-0.10742,3,1,2,$43.00 
51.52022,-0.10577,4,2,3,$219.00 
51.49609,-0.22782,3,1,1,$120.00 
51.5191,-0.2053,4,2,2,$150.00 
51.51156,-0.19579,2,1,1,$170.00 
51.54621,-0.20833,1,1,1,$42.00 
51.57542,-0.06921,2,2,0,$75.00 
51.60552,-0.14845,1,1,1,$45.00 
51.42864,-0.15701,1,1,1,$29.00 
51.56094,-0.10893,3,1,2,$29.00 
51.53651,-0.23791,2,1,1,$46.00 
51.55314,-0.04586,6,3,4,$123.00 
51.63546,-0.11726,2,1,1,$66.00 
51.54233,-0.09941,1,1,0,$50.00 
51.52932,-0.08094,12,4,5,$543.00 
51.53261,-0.08277,6,2,2,$154.00 
51.55012,-0.11695,2,1,1,$60.00 
51.63077,-0.13596,3,1,1,$56.00 
51.53152,-0.09268,1,1,1,$40.00 
51.55468,-0.13524,7,5,4,$300.00 
51.47615,-0.06092,2,3,0,$60.00 
51.42925,-0.12584,1,1,,$57.00 
51.52099,-0.11046,1,1,1,$250.00 
51.52333,-0.31282,1,1,1,$30.00 
51.53189,-0.19747,4,2,0,$180.00 
51.52999,-0.08276,4,1,1,$40.00 
51.53183,0.0492,1,1,1,$51.00 
51.50882,-0.12843,2,1,1,$125.00 
51.46938,-0.17134,1,2,1,$35.00 
51.51854,0.02291,5,2,3,$70.00 
51.44251,-0.01989,10,4,8,$261.00 
51.44293,-0.0201,2,1,2,$87.00 
51.44177,-0.02204,5,2,5,$128.00 
51.44336,-0.02298,4,2,0,$146.00 
51.44283,-0.0214,4,1,3,$110.00 
51.44365,-0.02287,8,4,8,$209.00 
51.44345,-0.0213,6,3,0,$157.00 
51.50423,-0.10777,2,1,2,$40.00 
51.50558,-0.32817,1,1,1,$29.00 
51.47176,0.05943,1,1,1,$46.00 
51.44267,-0.33194,3,1,1,$71.00 
51.53097,-0.39891,2,1,1,$30.00 
51.52084,-0.20609,4,1,2,$136.00 
51.54248,-0.09712,3,2,2,$80.00 
51.53856,-0.18757,4,1,0,$103.00 
51.47297,-0.18296,5,2,3,$140.00 
51.4228,-0.17757,4,1,2,$97.00 
51.43958,-0.05342,5,2,2,$108.00 
51.61782,-0.02283,3,1,1,$50.00 
51.42168,-0.17803,6,2,4,$130.00 
51.49281,-0.30921,6,2,4,$124.00 
51.51488,-0.19016,2,1,1,$89.00 
51.49777,-0.09097,2,1,1,$149.00 
51.51428,-0.26447,2,1,1,$50.00 
51.52361,-0.11591,2,1,1,$125.00 
51.55918,-0.07416,1,1,1,$45.00 
51.58619,-0.25304,2,1,1,$50.00 
51.5067,-0.24775,2,1,0,$86.00 
51.52851,-0.07426,2,,2,$70.00 
51.51464,-0.20004,3,1,1,$250.00 
51.58202,-0.3768,2,1,1,$70.00 
51.51209,-0.18921,4,2,2,$250.00 
51.53741,-0.23727,6,3,3,$102.00 
51.53625,0.0048,6,3,3,$572.00 
51.54039,-0.14282,6,3,3,$275.00 
51.43027,-0.12881,2,1,1,$29.00 
51.59228,-0.25644,2,1,1,$50.00 
51.48794,-0.21467,3,1,2,$54.00 
51.57505,0.00514,1,1,1,$34.00 
51.5206,-0.34408,2,1,1,$86.00 
51.41877,-0.16772,2,1,1,$45.00 
51.43021,-0.12722,4,2,2,$135.00 
51.55763,-0.30246,5,2,2,$59.00 
51.55964,-0.40993,1,1,1,$57.00 
51.5835,-0.11739,6,3,3,$200.00 
51.51749,-0.01934,2,1,2,$55.00 
51.45398,-0.02118,5,3,4,$100.00 
51.47689,0.03238,1,1,1,$32.00 
51.52264,-0.10323,2,1,1,$130.00 
51.49608,-0.09713,2,1,1,$70.00 
51.54259,0.15386,1,1,1,$41.00 
51.49739,-0.10146,5,2,3,$132.00 
51.51592,-0.16413,2,1,1,$100.00 
51.52344,-0.46178,2,1,1,$30.00 
51.52197,-0.14035,3,1,2,$179.00 
51.55215,-0.03855,6,2,3,$145.00 
51.58751,-0.09781,1,1,1,$50.00 
51.56099,-0.0774,8,5,4,$190.00 
51.49324,-0.11058,6,3,3,$260.00 
51.49883,0.10547,2,1,1,$34.00 
51.46721,-0.10136,2,1,1,$35.00 
51.41755,-0.15309,13,4,10,$500.00 
51.54321,0.00626,2,1,1,$100.00 
51.52704,-0.08129,2,1,1,$144.00 
51.53347,-0.23292,3,1,1,$89.00 
51.60134,-0.08688,2,1,1,$26.00 
51.55701,-0.08336,6,3,3,$97.00 
51.52626,0.02904,2,1,1,$32.00 
51.47565,-0.15073,4,2,2,$170.00 
51.44085,-0.13348,1,1,1,$31.00 
51.48383,-0.11655,2,1,1,$50.00 
51.54289,-0.14541,4,1,1,$46.00 
51.61455,-0.02989,1,1,1,$29.00 
51.51106,-0.16939,2,1,1,$140.00 
51.49113,-0.19482,2,1,1,$200.00 
